"","badbad"
"156","sick Feeling"
"157","hurts "
"158","ache belly"
"159","bored super"
"160","bad drea"
"161","sad story"
"162","sob sob"
"163","bored soooo"
"164","sob sob"
"165","sorry guys"
"166","cry "
"167","difficulties technical"
"168","infection eye"
"169","crappy weather"
"170","sick Being"
"171","hurting stop"
"172","poor aww"
"173","hate Mondays"
"174","symptoms withdrawal"
"175","splitting headache"
"176","pains sto"
"177","headache splitting"
"178","bored bored"
"179","fell through"
"180","miss Will"
"181","sad Kinda"
"182","hurts knee"
"183","hurts Head"
"184","hate Harry"
"185","failing "
"186","sucks totally"
"187","miserably failing"
"188","miss having"
"189","ache Tu"
"190","hurts leg"
"191","hate seeing"
"192","miss seeing"
"193","sucks which"
"194","hate waiting"
"195","sad thats"
"196","fell asleep"
"197","lost Cavs"
"198","lost We"
"199","sick kinda"
"200","missed totally"
"201","sick super"
"202","sucks kinda"
"203","ache ear"
"204","sore head"
"205","sad I"
"206","miss i"
"207","horrible headache"
"208","headache horrible"
"209","worse gets"
"210","redundant "
"211","died fish"
"212","lag jet"
"213","sad so"
"214","sucks big"
"215","hurt ears"
"216","broken hearted"
"217","shit holy"
"218","died dog"
"219","miss youu"
"220","boring "
"221","died Fawcett"
"222","poor kids"
"223","died McMahon"
"224","hurts eye"
"225","emergency vet"
"226","stole So"
"227","infection throat"
"228","losing keep"
"229","hurts tooth"
"230","died battery"
"231","hurts belly"
"232","dim su"
"233","miss ill"
"234","bad felt"
"235","scary "
"236","sad pretty"
"237","infection kidney"
"238","hurts chest"
"239","lost ive"
"240","sucked Code"
"241","bad sooooo"
"242","fucking hate"
"243","depressing "
"244","crap Oh"
"245","sad quite"
"246","upset sto"
"247","lost tea"
"248","hurts ear"
"249","cold head"
"250","pains chest"
"251","tired Soooo"
"252","gloom June"
"253","bad cold"
"254","unavailable te"
"255","lonely keep"
"256","sad "
"257","hate i"
"258","sucks Life"
"259","delayed Flight"
"260","wrong went"
"261","hate living"
"262","attack asth"
"263","dead tired"
"264","fault own"
"265","tired dead"
"266","suicide co"
"267","stinks That"
"268","sucks balls"
"269","horrible drea"
"270","damn God"
"271","miss talking"
"272","sore throats"
"273","miss youuu"
"274","attacks panic"
"275","panic attacks"
"276","headache sinus"
"277","poor kitty"
"278","hate school"
"279","hate feeling"
"280","poor awww"
"281","itchy eyes"
"282","miss We"
"283","poor Those"
"284","doubtful Very"
"285","lost cavs"
"286","sorry bout"
"287","gloomy outside"
"288","hurt fingers"
"289","died who"
"290","hurts shoulder"
"291","bad cough"
"292","fever high"
"293","fever glandular"
"294","shit Oh"
"295","hurt head"
"296","sorry babe"
"297","tired Too"
"298","scary "
"299","failed "
"300","miserably failed"
"301","bad ti"
"302","sad Really"
"303","sick I"
"304","hate exa"
"305","poor lil"
"306","hurts brain"
"307","alarm fire"
"308","fell apart"
"309","crash France"
"310","hate those"
"311","sad sooooo"
"312","death war"
"313","infections ear"
"314","boring sooo"
"315","shit shit"
"316","worst night"
"317","nightmare worst"
"318","error "
"319","shit shit"
"320","headache biggest"
"321","hate sleeping"
"322","bloody hell"
"323","hell bloody"
"324","hate doing"
"325","hurts hand"
"326","puppet co"
"327","wrong na"
"328","fucking tired"
"329","kill gonna"
"330","hurts sunburn"
"331","allergy attack"
"332","cancer lung"
"333","attack allergy"
"334","bad habit"
"335","virus sto"
"336","hurt tu"
"337","dead officially"
"338","breaking heart"
"339","hate bein"
"340","crappy pretty"
"341","headache banging"
"342","bug sto"
"343","hate sundays"
"344","begging "
"345","tired Soo"
"346","hurts wrist"
"347","anxiety separation"
"348","disappointed Very"
"349","aches tu"
"350","miss kinda"
"351","jealous sooo"
"352","bad feels"
"353","bad enough"
"354","bored I"
"355","burned sun"
"356","sick feels"
"357","hurts finger"
"358","lost Boyle"
"359","poor kid"
"360","die "
"361","sick gettin"
"362","infection chest"
"363","hurts ankle"
"364","bored outta"
"365","fat ass"
"366","wrong wats"
"367","sucks so"
"368","poor dog"
"369","tired Very"
"370","hate these"
"371","fall apart"
"372","sad SO"
"373","lost their"
"374","weird feels"
"375","worst feeling"
"376","stupid rain"
"377","boiling water"
"378","poor You"
"379","dead al"
"380","freezing cold"
"381","hurts sooo"
"382","cold freezing"
"383","sucks this"
"384","hum ho"
"385","hum Ho"
"386","fall asleep"
"387","problem Only"
"388","hurt ar"
"389","foul "
"390","upset tu"
"391","crashed co"
"392","delayed flight"
"393","sick baby"
"394","boring pretty"
"395","sad part"
"396","tired I"
"397","miss I"
"398","falling asleep"
"399","worst drea"
"400","hurt sto"
"401","tired soooooo"
"402","rash heat"
"403","anxiety attack"
"404","attack anxiety"
"405","sick feelin"
"406","sickness "
"407","sucks Work"
"408","wrong side"
"409","headache pounding"
"410","cold weather"
"411","miss i"
"412","missed We"
"413","hurts Tu"
"414","bad too"
"415","weird acting"
"416","hate thunder"
"417","hate packing"
"418","missed 1111"
"419","stuck I"
"420","bad SO"
"421","lonely kinda"
"422","fail whale"
"423","miss youuuu"
"424","sad ending"
"425","stuck song"
"426","sick sooo"
"427","poor car"
"428","headache Massive"
"429","sad extre"
"430","pain "
"431","lost Nadal"
"432","tired extre"
"433","cruel world"
"434","worse nothing"
"435","aches heart"
"436","boring soo"
"437","burn heart"
"438","dust collecting"
"439","cold sooo"
"440","ache Sto"
"441","hard external"
"442","lagged jet"
"443","leak hydrogen"
"444","hurts butt"
"445","sorely "
"446","warning tornado"
"447","missed sorely"
"448","bash birthday"
"449","boring soooo"
"450","sore tu"
"451","sorry sweetie"
"452","bitter sweet"
"453","worse gotten"
"454","alarm False"
"455","slow internet"
"456","horrible thats"
"457","poor Aww"
"458","lost "
"459","hostage held"
"460","damn hot"
"461","ugh ugh"
"462","cold co"
"463","hurts face"
"464","grief Good"
"465","hate hate"
"466","wrong wit"
"467","poor boy"
"468","fallen asleep"
"469","bad feeling"
"470","fever Hay"
"471","slow super"
"472","died Carradine"
"473","doom i"
"474","impending doo"
"475","swollen glands"
"476","sorry sooo"
"477","disappointed kinda"
"478","hate su"
"479","hiss boo"
"480","freaking tired"
"481","burns degree"
"482","critical condition"
"483","tired freaking"
"484","freaking hot"
"485","sad coz"
"486","broken leg"
"487","slowly dying"
"488","dying slowly"
"489","hard Its"
"490","hate rain"
"491","tired Sooooo"
"492","gloomy weather"
"493","failing keeps"
"494","aches head"
"495","dead pixel"
"496","bored extre"
"497","hurt knees"
"498","problems health"
"499","cancer cervical"
"500","dead found"
"501","worst possible"
"502","hang wanna"
"503","ruin everything"
"504","awful sounds"
"505","nervous wreck"
"506","wreck nervous"
"507","hate officially"
"508","sucks Potter"
"509","hard way"
"510","bored kinda"
"511","terrible thats"
"512","fever slight"
"513","poor wee"
"514","boiling hot"
"515","scared I"
"516","false alar"
"517","alarm false"
"518","dark clouds"
"519","bad too"
"520","stupid exa"
"521","miss 1Ill"
"522","limit exceeded"
"523","hate life"
"524","lost two"
"525","hurts soo"
"526","sad Watching"
"527","sorry dude"
"528","wrong so"
"529","depressing How"
"530","headache slight"
"531","bad Feel"
"532","sick soo"
"533","annoying "
"534","bad tu"
"535","crash "
"536","painful sounds"
"537","died al"
"538","mad kinda"
"539","died cat"
"540","sick child"
"541","pains growing"
"542","died dad"
"543","strange reason"
"544","hurt shoulders"
"545","hate "
"546","pigs guinea"
"547","jam Traffic"
"548","hate "
"549","lost who"
"550","upset pretty"
"551","hate needles"
"552","pain In"
"553","symptoms withdrawl"
"554","bad case"
"555","tired SO"
"556","dumb ass"
"557","hurts toe"
"558","junk "
"559","hurts jaw"
"560","excruciating pain"
"561","cry cry"
"562","pain excruciating"
"563","hell hole"
"564","hard soo"
"565","terrible news"
"566","cry cry"
"567","hole hell"
"568","crappy "
"569","error occurred"
"570","scary drea"
"571","mashed potatoes"
"572","shit outta"
"573","hate goodbyes"
"574","nasty cough"
"575","wreck e"
"576","suck ass"
"577","sorry hon"
"578","fist shakes"
"579","fall Cant"
"580","injury knee"
"581","fever degree"
"582","miss gona"
"583","bad super"
"584","bad sunburn"
"585","awful thats"
"586","sick Ho"
"587","scared shitless"
"588","hard pretty"
"589","worst luck"
"590","damn tired"
"591","jealous SO"
"592","hard real"
"593","sad Feeling"
"594","drained e"
"595","noises weird"
"596","weird noises"
"597","sore feet"
"598","ruins everything"
"599","missed ive"
"600","hate hospitals"
"601","upset Very"
"602","worried bout"
"603","infection viral"
"604","miss dancing"
"605","sucked Mountain"
"606","sore throat"
"607","slow soooo"
"608","damn near"
"609","limit rate"
"610","boring Another"
"611","trouble breathing"
"612","wreck train"
"613","hurts sto"
"614","hates body"
"615","hate rainy"
"616","boring kinda"
"617","sick little"
"618","sucks Code"
"619","fucking bored"
"620","breaks heart"
"621","bad hair"
"622","miss Jay"
"623","funny pretty"
"624","weird drea"
"625","sad terribly"
"626","stole who"
"627","disgusting "
"628","problems technical"
"629","stupid cold"
"630","stupid ass"
"631","badly pretty"
"632","grind daily"
"633","beg Dougie"
"634","hiss Boo"
"635","bored soooooo"
"636","downhill went"
"637","fuck sake"
"638","hurts Sto"
"639","poor cat"
"640","suck "
"641","throbbing headache"
"642","died laptop"
"643","scratchy throat"
"644","damn pretty"
"645","horrible person"
"646","bad sto"
"647","headache throbbing"
"648","poorly sick"
"649","sick poorly"
"650","tank fish"
"651","stormy weather"
"652","poison oak"
"653","mistakes spelling"
"654","sucks code"
"655","poor doggy"
"656","bored sooooo"
"657","tired Really"
"658","bleeding stop"
"659","hate winter"
"660","aches sto"
"661","tired Super"
"662","nasty cold"
"663","cold nasty"
"664","dizzy spells"
"665","sour sally"
"666","cancer skin"
"667","shit load"
"668","hurts thu"
"669","bad choice"
"670","death toll"
"671","toll death"
"672","sorry aww"
"673","pity party"
"674","suicide co"
"675","sad Super"
"676","damn cold"
"677","cry everyti"
"678","slow sooo"
"679","sorry honey"
"680","difficult "
"681","trouble finding"
"682","ugly betty"
"683","pain chest"
"684","poor bb"
"685","suck You"
"686","hell Bloody"
"687","bored incredibly"
"688","died survivor"
"689","bad Really"
"690","hurts it"
"691","boring weekend"
"692","missed church"
"693","breakdown "
"694","miss these"
"695","missed each"
"696","wrong person"
"697","sad so"
"698","miss hearing"
"699","sad incredibly"
"700","sucked code"
"701","wrong way"
"702","hate stor"
"703","cry "
"704","sorry Very"
"705","bloody cold"
"706","stupid co"
"707","headache Killer"
"708","failed totally"
"709","cold bloody"
"710","poor awwww"
"711","sorry SO"
"712","falling keep"
"713","hurts nose"
"714","hard disk"
"715","desperate In"
"716","cold soo"
"717","cry i"
"718","hell happened"
"719","killed al"
"720","horrible "
"721","sad faces"
"722","depressed slightly"
"723","fear biggest"
"724","alarm goes"
"725","gravely reportedly"
"726","crash Metro"
"727","crazy busy"
"728","bad hayfever"
"729","hate driving"
"730","crazy stir"
"731","limit character"
"732","guilty felt"
"733","stuck doing"
"734","stupid phone"
"735","worst worlds"
"736","hate finals"
"737","shame real"
"738","trouble uploading"
"739","hurt heart"
"740","fallen ve"
"741","lost celtics"
"742","hate leaving"
"743","sad song"
"744","lost interest"
"745","worse "
"746","painful "
"747","gloom june"
"748","tragedy France"
"749","mar del"
"750","painfully slow"
"751","fat kid"
"752","slow painfully"
"753","die wanna"
"754","cancer colon"
"755","sorry bb"
"756","burn Sun"
"757","bumble bee"
"758","stress related"
"759","bad person"
"760","upset kinda"
"761","silly girl"
"762","suffer through"
"763","dead phones"
"764","died He"
"765","suck headaches"
"766","headaches suck"
"767","missed ya"
"768","stupid weather"
"769","dead co"
"770","lost Nuggets"
"771","stupid internet"
"772","wrong goes"
"773","bored SO"
"774","bad shape"
"775","pain sto"
"776","loud "
"777","bad thats"
"778","nasty headache"
"779","broken glass"
"780","dislike strongly"
"781","sour crea"
"782","broke Car"
"783","pain sharp"
"784","fever cabin"
"785","headache nasty"
"786","horrible "
"787","died fawcett"
"788","hate "
"789","cold soooo"
"790","cold stinking"
"791","hate i"
"792","hating life"
"793","miss shall"
"794","hate hayfever"
"795","sore neck"
"796","killed hi"
"797","sick bein"
"798","horrible weather"
"799","lazy Too"
"800","failure kidney"
"801","lack distinct"
"802","tired pretty"
"803","dead bird"
"804","bomb ass"
"805","lame la"
"806","fell plans"
"807","died RIP"
"808","hates everyone"
"809","fracture hairline"
"810","fucking shit"
"811","lame la"
"812","shake protein"
"813","missed seeing"
"814","hate allergies"
"815","hates having"
"816","worst nights"
"817","hate inso"
"818","embarrassing How"
"819","fucking hurts"
"820","hard sooo"
"821","miss youuuuu"
"822","miss yall"
"823","unknown error"
"824","enemy worst"
"825","worst ene"
"826","fatal error"
"827","error unknown"
"828","hate headaches"
"829","error fatal"
"830","badly sooo"
"831","lose followers"
"832","odd reason"
"833","hate Sundays"
"834","insult add"
"835","bad soooooo"
"836","tired Still"
"837","dead deer"
"838","error server"
"839","sore soooo"
"840","pains sharp"
"841","dark outside"
"842","freaking cold"
"843","severe weather"
"844","cold freaking"
"845","broken link"
"846","sinking feeling"
"847","broken bones"
"848","hard kinda"
"849","dead baby"
"850","damn Oh"
"851","missed calls"
"852","sucked ass"
"853","sucks Inso"
"854","pain pills"
"855","delay hour"
"856","cold Its"
"857","ache body"
"858","hard drives"
"859","miss playing"
"860","noises funny"
"861","bug tu"
"862","bored soooooooo"
"863","broke ca"
"864","scared kinda"
"865","fail gunna"
"866","tired freakin"
"867","poor ani"
"868","miss LA"
"869","bad cra"
"870","terrible sounds"
"871","error "
"872","smoke cigarette"
"873","jealous totally"
"874","explode gonna"
"875","crashes plane"
"876","suck so"
"877","limit API"
"878","disorder eating"
"879","desperately want"
"880","broke "
"881","disappointed Really"
"882","awful pretty"
"883","hurts soooo"
"884","died aunt"
"885","scariest drea"
"886","sucks "
"887","bloody nose"
"888","cry gunna"
"889","gravely ill"
"890","froze co"
"891","hurt hands"
"892","worst hangover"
"893","horrible news"
"894","depressed kinda"
"895","loss total"
"896","wrong direction"
"897","failure epic"
"898","infection bladder"
"899","ridiculously hot"
"900","sorry hugs"
"901","miss living"
"902","died finally"
"903","problems Having"
"904","scary pretty"
"905","died batteries"
"906","hurts everything"
"907","awful looks"
"908","suck totally"
"909","pains tu"
"910","sick pretty"
"911","tragic news"
"912","sad feels"
"913","sick Feeling"
"914","hard SO"
"915","break ups"
"916","cloud black"
"917","lost track"
"918","remorse buyers"
"919","lose gonna"
"920","fake tan"
"921","bash bday"
"922","frozen yoghurt"
"923","died ipod"
"924","lame super"
"925","awful absolutely"
"926","sorry awww"
"927","sorry girl"
"928","sick soooo"
"929","fall asleep"
"930","infections Ear"
"931","badly soo"
"932","hurts Throat"
"933","crap Ah"
"934","allergy "
"935","humid weather"
"936","swollen shut"
"937","sorry soo"
"938","break Spring"
"939","ruined totally"
"940","headache Has"
"941","depressing quite"
"942","hate revision"
"943","afraid I"
"944","wrong size"
"945","disappointing Very"
"946","allergy season"
"947","mad sooo"
"948","wack ass"
"949","worst "
"950","bitch lucky"
"951","hurt neck"
"952","jealous soooo"
"953","nervous breakdown"
"954","terrible drea"
"955","breakdown nervous"
"956","stuck Still"
"957","allergies suck"
"958","suck allergies"
"959","suck Mondays"
"960","breaking keeps"
"961","funny bone"
"962","hate spiders"
"963","anxiety attacks"
"964","attacks anxiety"
"965","blister blood"
"966","bad hangover"
"967","sad how"
"968","jam pearl"
"969","crazy ass"
"970","horrible feeling"
"971","hell Fucking"
"972","blah Blah"
"973","bruise huge"
"974","crash train"
"975","impossible near"
"976","breaking news"
"977","stupid headache"
"978","waste co"
"979","lame kinda"
"980","missed Conan"
"981","suck exa"
"982","poor rob"
"983","split second"
"984","cold water"
"985","wrong question"
"986","hate saying"
"987","hurts kinda"
"988","unknown reason"
"989","pain serious"
"990","crap crap"
"991","upset quite"
"992","worse Even"
"993","crashing keep"
"994","worst "
"995","idiot co"
"996","annoying sooo"
"997","sad so"
"998","crap crap"
"999","headache co"
"1000","missed co"
"1001","headaches sinus"
"1002","sorry Really"
"1003","died co"
"1004","dark roo"
"1005","fall asleep"
"1006","cloud cover"
"1007","tired kinda"
"1008","miss gna"
"1009","sad bc"
"1010","sucks Which"
"1011","guilty Feeling"
"1012","afraid deathly"
"1013","damage water"
"1014","awful "
"1015","hard raining"
"1016","shock electric"
"1017","tired hella"
"1018","delay flight"
"1019","lonely Feeling"
"1020","lonely pretty"
"1021","tired sooooooo"
"1022","fucking cold"
"1023","loud thunder"
"1024","fell al"
"1025","stupid allergies"
"1026","lost Pens"
"1027","disappointing pretty"
"1028","cracked screen"
"1029","wrong place"
"1030","slow "
"1031","hate "
"1032","smells It"
"1033","hurts Sunburn"
"1034","broken toe"
"1035","hate history"
"1036","pity self"
"1037","jealous I"
"1038","horrible night"
"1039","picky eater"
"1040","lost power"
"1041","nightmare horrible"
"1042","exhaustion heat"
"1043","headache Worst"
"1044","wrong So"
"1045","hate seriously"
"1046","weird "
"1047","sucked balls"
"1048","cold sore"
"1049","belated happy"
"1050","die "
"1051","worst cra"
"1052","balls sucked"
"1053","cramp leg"
"1054","sorry soooo"
"1055","worried kinda"
"1056","sucks bigti"
"1057","hurt They"
"1058","hurt gonna"
"1059","pains Chest"
"1060","symptoms flulike"
"1061","sad soooooo"
"1062","died ca"
"1063","sad Still"
"1064","cracked screen"
"1065","sucks it"
"1066","sad Soo"
"1067","sore canker"
"1068","kill bill"
"1069","wrong So"
"1070","stressful week"
"1071","wrong anything"
"1072","dead brain"
"1073","sick hella"
"1074","worried I"
"1075","hang should"
"1076","hates Twitter"
"1077","upset sooo"
"1078","difficult extre"
"1079","awful drea"
"1080","virus H1N1"
"1081","biting keep"
"1082","rough draft"
"1083","bored Really"
"1084","dead squirrel"
"1085","worst ti"
"1086","fat lip"
"1087","scary drea"
"1088","worse ti"
"1089","gall bladder"
"1090","infection respiratory"
"1091","hard decision"
"1092","allergy "
"1093","sucked kinda"
"1094","crashing kept"
"1095","falling stop"
"1096","bored pretty"
"1097","miss "
"1098","delayed due"
"1099","limit word"
"1100","disappointing How"
"1101","falling keeps"
"1102","vicious cycle"
"1103","sick physically"
"1104","badly soooo"
"1105","miserable weather"
"1106","sting bee"
"1107","zombie "
"1108","stupid oclock"
"1109","headache Major"
"1110","horrible sounds"
"1111","bad REALLY"
"1112","sad songs"
"1113","cloudy outside"
"1114","miss i"
"1115","lost co"
"1116","boring super"
"1117","slow sooooo"
"1118","suck gunna"
"1119","hurts Knee"
"1120","sting eyes"
"1121","dying keep"
"1122","died ha"
"1123","slow extre"
"1124","hate flying"
"1125","hate studying"
"1126","bug flu"
"1127","slow pretty"
"1128","hurts lip"
"1129","headache thu"
"1130","fuck Fuck"
"1131","tired fuckin"
"1132","hate funerals"
"1133","lost everything"
"1134","sorely disappointed"
"1135","burn hurts"
"1136","died grandfather"
"1137","mad early"
"1138","hurts burn"
"1139","disappointed sorely"
"1140","swollen ankle"
"1141","rough week"
"1142","annoying Very"
"1143","hurts alot"
"1144","sore sooo"
"1145","crap Aw"
"1146","pain abdo"
"1147","mad I"
"1148","bad Feels"
"1149","bored hella"
"1150","hurt ribs"
"1151","frustrating Very"
"1152","funny acting"
"1153","douche bags"
"1154","hurts side"
"1155","hurt "
"1156","ridiculous a"
"1157","sorry baby"
"1158","poor "
"1159","crashed laptop"
"1160","sick Getting"
"1161","delay Rain"
"1162","breaks It"
"1163","fail fail"
"1164","garbage disposal"
"1165","sad cos"
"1166","scrambled egg"
"1167","hurts Everything"
"1168","missed half"
"1169","drained co"
"1170","headache Huge"
"1171","terribly quite"
"1172","sucks donkey"
"1173","hurts Ouch"
"1174","hates us"
"1175","rage road"
"1176","fucking aweso"
"1177","fail fail"
"1178","worse 10x"
"1179","sore soo"
"1180","dead kitty"
"1181","noises strange"
"1182","strange noises"
"1183","mar fair"
"1184","hurt lungs"
"1185","hurts real"
"1186","sucks Today"
"1187","ruined everything"
"1188","headache induced"
"1189","lame pretty"
"1190","sucks Weather"
"1191","cancer pancreatic"
"1192","fall asleep"
"1193","cry "
"1194","issues technical"
"1195","rip farrah"
"1196","hard reset"
"1197","disappointed quite"
"1198","burn eyes"
"1199","painful sunburn"
"1200","funny tastes"
"1201","infection respitory"
"1202","itch eyes"
"1203","bloody hot"
"1204","horrible looks"
"1205","hate thunderstor"
"1206","tank gas"
"1207","headache This"
"1208","tragic loss"
"1209","loss tragic"
"1210","limit Rate"
"1211","fucking hot"
"1212","headache Bad"
"1213","bad week"
"1214","limit follow"
"1215","death bed"
"1216","apathy voter"
"1217","rollercoaster tycoon"
"1218","bleeding started"
"1219","miss surely"
"1220","wound open"
"1221","damn bored"
"1222","sore sto"
"1223","bored Totally"
"1224","messed totally"
"1225","sick Feels"
"1226","sore eyes"
"1227","poor aw"
"1228","fall cannot"
"1229","worse Nothing"
"1230","hurting started"
"1231","weird drea"
"1232","pole telephone"
"1233","terrible feels"
"1234","miss "
"1235","biting stop"
"1236","worst sto"
"1237","broke sunglasses"
"1238","myth popcorn"
"1239","leak water"
"1240","cold turkey"
"1241","difficulties Technical"
"1242","bad such"
"1243","hate fighting"
"1244","missed greatly"
"1245","sucks econo"
"1246","headache headache"
"1247","sick gets"
"1248","pan frying"
"1249","yawn yawn"
"1250","disaster France"
"1251","break easter"
"1252","boring quite"
"1253","died fishy"
"1254","tragic How"
"1255","losing battle"
"1256","shocking news"
"1257","impossible see"
"1258","infections sinus"
"1259","sick officially"
"1260","headache headache"
"1261","shit happens"
"1262","weep weep"
"1263","abuse ani"
"1264","yawn yawn"
"1265","aching body"
"1266","sorry buddy"
"1267","cry dont"
"1268","fall gonna"
"1269","died grand"
"1270","bad taste"
"1271","drunk driver"
"1272","explode "
"1273","horrible absolutely"
"1274","swollen eye"
"1275","bored Bored"
"1276","bad experience"
"1277","stupid paper"
"1278","lost Celtics"
"1279","bloody valentine"
"1280","neglected ve"
"1281","screwed totally"
"1282","broke officially"
"1283","hung hi"
"1284","sick quite"
"1285","miss gonna"
"1286","fell thru"
"1287","missed You"
"1288","shake "
"1289","lost nadal"
"1290","miss chris"
"1291","sucks that"
"1292","miss guna"
"1293","worst absolute"
"1294","bored shitless"
"1295","myth busted"
"1296","trouble falling"
"1297","stuck between"
"1298","falling trouble"
"1299","died brother"
"1300","shit This"
"1301","stunt publicity"
"1302","bad head"
"1303","dies battery"
"1304","ache legs"
"1305","suck kinda"
"1306","ache Head"
"1307","funny noises"
"1308",":| Acck"
"1309","pain stabbing"
"1310","failed update"
"1311","disappointed Kinda"
"1312","rocky horror"
"1313","fell finally"
"1314","miss London"
"1315","error "
"1316","delays Train"
"1317","bad ti"
"1318","loud noises"
"1319","noises loud"
"1320","bored sooooooo"
"1321","itchy itchy"
"1322","itchy itchy"
"1323","fumes paint"
"1324","hard trying"
"1325","mistake huge"
"1326","headache Splitting"
"1327","stuck behind"
"1328","ugly outside"
"1329","sore super"
"1330","screwed co"
"1331","aches Tu"
"1332","boring saturday"
"1333","broke co"
"1334","poor hubby"
"1335","hate public"
"1336","upset soo"
"1337","lack co"
"1338","lost totally"
"1339","tired so"
"1340","hate doctors"
"1341","allergies seasonal"
"1342","awful How"
"1343","devastating news"
"1344","stinging nettles"
"1345","stupid stupid"
"1346","sad Sooo"
"1347","bug huge"
"1348","failure total"
"1349","jealous super"
"1350","funny "
"1351","dead battery"
"1352","problems co"
"1353","depressing "
"1354","dark circles"
"1355","lack thereof"
"1356","hate colds"
"1357","sick felt"
"1358","blow low"
"1359","suck Hangovers"
"1360","fever 102"
"1361","wrong reasons"
"1362","complex apart"
"1363","poor feet"
"1364","anxiety seperation"
"1365","bad sounds"
"1366","bored quite"
"1367","disappointed extre"
"1368","bored rather"
"1369","kill d"
"1370","depressing kinda"
"1371","pain tooth"
"1372","died Titanic"
"1373","miss school"
"1374","cloudy Another"
"1375","hard soooo"
"1376","bad Feeling"
"1377","grudge against"
"1378","depressing Very"
"1379","weird tastes"
"1380","shit co"
"1381","dead fish"
"1382","mad hella"
"1383","nervous sooo"
"1384","miss everything"
"1385","moan "
"1386","sick Been"
"1387","died grandpa"
"1388","infections suck"
"1389","suck infections"
"1390","fever 103"
"1391","moan "
"1392","missed "
"1393","suck People"
"1394","dead "
"1395","sucks dude"
"1396","depression deep"
"1397","lost against"
"1398","rubbish pretty"
"1399","crap outta"
"1400","sick kid"
"1401","dent s"
"1402","killer serial"
"1403","lonely sooo"
"1404","bloody freezing"
"1405","sad VERY"
"1406","stole whoever"
"1407","pain neck"
"1408","upset lil"
"1409","dirty clothes"
"1410","freezing bloody"
"1411","ache sto"
"1412","violently ill"
"1413","lazy bu"
"1414","balls "
"1415","tank septic"
"1416","dire In"
"1417","hate falling"
"1418","bum lazy"
"1419","bad reviews"
"1420","hate throwing"
"1421","pain "
"1422","sink kitchen"
"1423","hurts sooooo"
"1424","broke girlfriend"
"1425","naughty girl"
"1426","damn slow"
"1427","bloody awful"
"1428","ruined ve"
"1429","lose power"
"1430","awful bloody"
"1431","crap weather"
"1432","stupid stor"
"1433","killing "
"1434","cold co"
